date,trip_count_diff1,trip_count_hp_cycle,trip_count_hp_trend,avg_fare_diff1,avg_fare_hp_cycle,avg_fare_hp_trend,total_revenue_diff1,total_revenue_hp_cycle,total_revenue_hp_trend
2023-01-01,,-17655.917380278028,93662.91738027803,,3.203466197005895,19.097457139002632,,-221797.0067870519,2588974.546787052
2023-01-02,-10949.0,-28915.442252039793,93973.4422520398,0.11144516594357867,3.338502404120984,19.07386609783112,-316987.98,-545558.7917813831,2595748.351781383
2023-01-03,19906.0,-9319.830889871097,94283.8308898711,-2.011137863093296,1.3509308640958366,19.050299774762973,459605.02,-92725.86537905317,2602520.4453790532
2023-01-04,9299.0,-330.7239468610933,94593.7239468611,-1.1007426425081732,0.2736793483996749,19.02680864795096,154449.46999999974,54959.143375176005,2609284.906624824
2023-01-05,5954.0,5314.309836176457,94902.69016382354,-0.6305933676948179,-0.3335589907412988,19.003453619397117,90945.13000000035,139154.0809139004,2616035.0990861
2023-01-06,1473.0,6479.70427031006,95210.29572968994,-0.5586468166782375,-0.869049890849265,18.980297702826846,-23456.220000000205,108968.1496022516,2622764.8103977484
2023-01-07,2400.0,8573.8521611311,95516.1478388689,-0.2508748654889672,-1.0970283917192951,18.95740133820791,-47305.79000000004,54958.26808560081,2629468.901914399
2023-01-08,-19781.0,-11510.903683487253,95819.90368348725,2.221363641538762,1.1469183281511732,18.934818259876202,-262928.04000000004,-214643.94579430623,2636143.075794306
2023-01-09,268.0,-11544.28661193847,96121.28661193847,-0.9249801412392422,0.2441627093457548,18.91259373744238,-32739.12000000011,-254023.44825643534,2642783.458256435
2023-01-10,14547.0,2704.0688460852252,96419.93115391477,-1.2307025143398889,-0.9647279577473,18.890781890195544,260125.83000000007,-498.6793164634146,2649384.5193164633
2023-01-11,6170.0,8578.617237177285,96715.38276282272,-0.2546326738770084,-1.198017462825085,18.86943872139632,136715.86000000034,129662.93106740294,2655938.7689325972
2023-01-12,5222.0,13508.792243202362,97007.20775679764,1.0969468510237554,-0.08024468082177805,18.84861279041677,294118.63999999966,417281.6267847908,2662438.713215209
2023-01-13,-752.0,12468.961352990867,97295.03864700913,0.2334363071536707,0.17346100408161647,18.828343412667046,27201.100000000093,438043.58123974875,2668877.858760251
2023-01-14,2153.0,14338.387820865173,97578.61217913483,-0.8766725779752882,-0.6835374456120178,18.80866928438539,-161940.1499999999,269728.3580706846,2675252.9319293154
