date,trip_count,avg_fare,total_revenue
2023-01-01,76007,22.300923336008527,2367177.54
2023-01-08,634591,19.548191301758703,17817076.63
2023-01-15,717216,18.51605367280923,19582636.91
2023-01-22,706968,18.660539082871868,19323171.43
2023-01-29,723026,18.08866476896535,19347389.55
2023-02-05,696429,18.131229704928852,18639046.36
2023-02-12,737540,18.404048913735103,20036263.53
2023-02-19,725247,18.71051896597684,19967525.990000002
2023-02-26,719172,19.056371928176468,19970395.9
2023-03-05,748303,18.754008977856255,20633906.39
2023-03-12,767720,18.915586960208707,21352571.21
2023-03-19,779715,19.53886934757035,22261340.27
2023-03-26,727573,19.604568340332513,20829658.02
2023-04-02,756397,19.483705408293734,21553642.15
2023-04-09,718180,19.12437238741888,20069904.48
2023-04-16,764075,19.664706930565426,21880121.759999998
2023-04-23,782071,20.063317246064823,22837774.23
2023-04-30,777966,20.282034223284178,22928281.439999998
2023-05-07,798259,20.074743634406413,23294780.74
2023-05-14,815712,20.190473241182808,23950607.43
2023-05-21,842805,20.6102183426325,25189152.3
2023-05-28,735955,20.05043493043998,21470057.81
2023-06-04,743602,20.463409867735493,21879617.68
2023-06-11,785752,20.076745876102173,22973800.12
2023-06-18,777991,20.07173011041984,22729096.83
2023-06-25,743742,20.578768438558182,22162788.7
2023-07-02,658852,20.511888831486722,19595473.669999998
2023-07-09,554388,20.223394646761637,16078380.51
2023-07-16,689010,20.178647450102602,20127518.61
2023-07-23,702475,20.24862169365527,20611952.2
2023-07-30,696030,20.08960886529106,20251617.25
2023-08-06,648077,19.971079092455,18757642.689999998
2023-08-13,640719,20.120883055076963,18635762.21
2023-08-20,627626,20.18336031339383,18311237.86
2023-08-27,608942,20.280376380706077,17859187.84
2023-09-03,596253,20.945758307214394,17954569.15
2023-09-10,761404,21.060167259461867,22920073.08
2023-09-17,785159,21.06193782982353,23814397.88
2023-09-24,401975,21.78797362408489,12258097.07
2023-10-01,763653,20.767230750939053,22940714.73
2023-10-08,774337,20.298320874652262,22827808.77
2023-10-15,777220,20.80226702962809,23319626.35
2023-10-22,811305,20.489369563828102,24209020.51
2023-10-29,822322,20.685216295153776,24621195.34
2023-11-05,798984,19.705702876882434,23011330.81
2023-11-12,819631,20.16227184980662,23987666.62
2023-11-19,816783,19.84477389296993,23748776.62
2023-11-26,611601,20.066141914015514,17808638.57
2023-12-03,805112,20.501026420270573,24037244.19
2023-12-10,858717,20.320461153549655,25418667.04
2023-12-17,894032,20.20949729508008,26234632.57
2023-12-24,710181,19.20735245177118,19860511.73
2023-12-31,516451,21.193916217796136,15594518.290000001
2024-01-07,601080,19.90326805161825,17149816.75
2024-01-14,668367,18.42369233804369,18199766.9
2024-01-21,671461,18.538656652513026,18251331.13
2024-01-28,700849,18.302878403971444,18945660.28
